n,r,m
(:Entity {name: සමාගම}),[:තබා_ගැනීම],(:Entity {name: නිසි ගිණුම් පොත්})
(:Entity {name: සමාගම}),[:තබා_ගැනීම],(:Entity {name: ශ්‍රී ලංකාවේ ලියාපදිංචි කාර්යාලයක්})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:කාර්යභාරය],(:Entity {name: සමාගම් ලියාපදිංචි කිරීම})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:කාර්යභාරය],(:Entity {name: සමාගම් අධීක්ෂණය සහ නියාමනය})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:කාර්යභාරය],(:Entity {name: සමාගම් ලේඛනාගාරය පවත්වාගෙන යාම})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:අයිතිවාසිකම],(:Entity {name: ලේඛන පරීක්ෂා කිරීමේ})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:බලය],(:Entity {name: සමාගම්වල කටයුතු පරීක්ෂා කිරීමට})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:බලය],(:Entity {name: සමාගම් පනතේ උල්ලංඝනයන් විමර්ශනය කිරීමට})
(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්}),[:බලය],(:Entity {name: නීතිමය ක්‍රියාමාර්ග ගැනීමට})
(:Entity {name: අධ්‍යක්ෂකවරයා}),[:වගකීම],(:Entity {name: සමාගමේ කටයුතු කළමනාකරණය කිරීම})
(:Entity {name: අධ්‍යක්ෂකවරයා}),[:වගකීම],(:Entity {name: ප්‍රතිපත්ති තීරණ ගැනීම})
(:Entity {name: අධ්‍යක්ෂකවරයා}),[:අයිතිවාසිකම],(:Entity {name: ඉවත් කිරීමට විරුද්ධව ප්‍රකාශ කිරීමට අවස්ථාවක්})
(:Entity {name: අධ්‍යක්ෂකවරයා}),[:අර්ථ_දැක්වීම],(:Entity {name: සමාගමක අධ්‍යක්ෂක මණ්ඩලයේ සාමාජිකයෙකු})
(:Entity {name: පුද්ගලික සමාගමක්}),[:ලක්ෂණය],(:Entity {name: සාමාජික සංඛ්‍යාව සීමිත වේ})
(:Entity {name: පුද්ගලික සමාගමක්}),[:අවම_සාමාජික_සංඛ්‍යාව],(:Entity {name: පුද්ගලයන් දෙදෙනෙකු})
(:Entity {name: පුද්ගලික සමාගමක්}),[:තහනම],(:Entity {name: කොටස් මහජනතාවට පිරිනැමීම})
(:Entity {name: පුද්ගලික සමාගමක්}),[:තහනම],(:Entity {name: රක්ෂණ ව්‍යාපාරයක්})
(:Entity {name: පොදු සමාගමක්}),[:හැකියාව],(:Entity {name: කොටස් මහජනතාවට පිරිනැමිය හැකිය})
(:Entity {name: පොදු සමාගමක්}),[:අවශ්‍යතාව],(:Entity {name: අවම වශයෙන් සාමාජිකයන් හත්දෙනෙකු සහ අධ්‍යක්ෂකවරුන් තිදෙනෙකු})
(:Entity {name: පොදු සමාගමක්}),[:අවම_සාමාජික_සංඛ්‍යාව],(:Entity {name: පුද්ගලයන් හත්දෙනෙකු})
(:Entity {name: සංස්ථාපන ගිවිසුම}),[:ඇතුළත්_වීම],(:Entity {name: සමාගමේ නම})
(:Entity {name: සංස්ථාපන ගිවිසුම}),[:ඇතුළත්_වීම],(:Entity {name: ලියාපදිංචි කාර්යාලයේ ස්ථානය})
(:Entity {name: සංස්ථාපන ගිවිසුම}),[:ඇතුළත්_වීම],(:Entity {name: සමාගමේ අරමුණු})
(:Entity {name: සංස්ථාපන ගිවිසුම}),[:ඇතුළත්_වීම],(:Entity {name: සාමාජිකයන්ගේ වගකීම් සීමාව})
(:Entity {name: සංස්ථාපන ගිවිසුම}),[:සංශෝධනය_කිරීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත ලියාපදිංචි කළ යුතුය})
(:Entity {name: සංස්ථාපන ගිවිසුම}),[:වෙනස්_කිරීම],(:Entity {name: විශේෂ යෝජනාවක් මගින් සාමාජිකයන්ගේ අනුමැතිය අවශ්‍ය වේ})
(:Entity {name: සමාගමේ අරමුණු}),[:වෙනස්_කිරීම],(:Entity {name: විශේෂ යෝජනාවක් මගින් අනුමත කළ යුතුයි})
(:Entity {name: ආණ්ඩුක්‍රම ව්‍යවස්ථාව}),[:ඇතුළත්_වීම],(:Entity {name: කොටස් සම්බන්ධ නීති})
(:Entity {name: ආණ්ඩුක්‍රම ව්‍යවස්ථාව}),[:ඇතුළත්_වීම],(:Entity {name: අධ්‍යක්ෂකවරුන්ගේ බලතල සහ වගකීම්})
(:Entity {name: ආණ්ඩුක්‍රම ව්‍යවස්ථාව}),[:ඇතුළත්_වීම],(:Entity {name: රැස්වීම් පැවැත්වීමේ ක්‍රමවේද})
(:Entity {name: සමාගම් නම}),[:සීමාව],(:Entity {name: දැනට ලියාපදිංචි වී ඇති වෙනත් සමාගමක නමට සමාන නමක් භාවිත කළ නොහැක})
(:Entity {name: සමාගම් නම}),[:සීමාව],(:Entity {name: මහජනතාව නොමඟ යවන සුළු නමක් භාවිත කළ නොහැක})
(:Entity {name: විශේෂ වචන}),[:අවශ්‍යතාව],(:Entity {name: වාණිජ මණ්ඩලය වැනි වචන භාවිත කිරීමට විශේෂ අවසරයක් අවශ්‍ය වේ})
(:Entity {name: ලියාපදිංචි ගාස්තු}),[:රඳා_පවතින්නේ],(:Entity {name: සමාගමේ අනුමත ප්‍රාග්ධනය මත})
(:Entity {name: ගාස්තු ප්‍රමාණය}),[:නියම_කිරීම],(:Entity {name: අමාත්‍යවරයා විසින් ගැසට් පත්‍රයේ නිවේදනයක් මගින්})
(:Entity {name: වෙනස් කිරීම}),[:ලියාපදිංචි_කිරීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත})
(:Entity {name: සමහර වෙනස්කම්}),[:අවශ්‍යතාව],(:Entity {name: උසාවියේ අනුමැතිය})
(:Entity {name: කොටස් වලින් සීමා කළ සමාගමක්}),[:වගකීම],(:Entity {name: සාමාජිකයන්ගේ වගකීම කොටස්වල ගෙවා නොමැති මුදල දක්වා සීමා වේ})
(:Entity {name: සාමාජිකයකු}),[:වගකීම],(:Entity {name: කොටස්වල සම්පූර්ණ වටිනාකම ගෙවා ඇත්නම් වැඩිදුර වගකීමක් නැත})
(:Entity {name: ඇපකරයකින් සීමා කළ සමාගමක්}),[:වගකීම],(:Entity {name: සාමාජිකයන්ගේ වගකීම සංස්ථාපන ගිවිසුමේ සඳහන් නියමිත ඇපකර මුදල දක්වා සීමා වේ})
(:Entity {name: ඇපකරයකින් සීමා කළ සමාගමක්}),[:භාවිතය],(:Entity {name: ලාභ නොලබන සංවිධාන සඳහා})
(:Entity {name: ලාභ නොලබන සමාගමක්}),[:අරමුණ],"(:Entity {name: දානධර්ම, ශිෂ්‍යත්ව, ක්‍රීඩා හෝ අනෙකුත් සමාජ අරමුණු})"
(:Entity {name: ලාභ නොලබන සමාගමක්}),[:සීමාව],(:Entity {name: ආදායම සාමාජිකයන්ට බෙදා නොහැරේ})
(:Entity {name: ආදායම}),[:භාවිතය],(:Entity {name: සමාගමේ අරමුණු සඳහා පමණක්})
(:Entity {name: අසීමිත වගකීමක් ඇති සමාගමක්}),[:වගකීම],(:Entity {name: සාමාජිකයන්ගේ වගකීම සීමා නොකළ})
(:Entity {name: සමාගම විසුරුවා හැරීමේදී}),[:වගකීම],(:Entity {name: සාමාජිකයන් සමාගමේ සියලු ණය ගෙවීමට වගකිව යුතුයි})
(:Entity {name: කුඩා සමාගමක්}),[:අර්ථ_දැක්වීම],(:Entity {name: නිශ්චිත ප්‍රමාණයට වඩා අඩු වාර්ෂික පිරිවැටුමක් ඇති සමාගමක්})
(:Entity {name: කුඩා සමාගම්}),[:ප්‍රතිලාභය],(:Entity {name: ඇතැම් අවශ්‍යතාවලින් නිදහස් කිරීම් ලබා දී ඇත})
(:Entity {name: කොටස් ප්‍රාග්ධනය}),[:බෙදීම],(:Entity {name: නාමික හෝ අනුමත ප්‍රාග්ධනය සහ නිකුත් කළ ප්‍රාග්ධනය})
(:Entity {name: කොටස් ප්‍රාග්ධනය}),[:අර්ථ_දැක්වීම],(:Entity {name: සමාගමක් විසින් කොටස් නිකුත් කිරීම මගින් එකතු කරන ලද මුළු ප්‍රාග්ධන ප්‍රමාණය})
(:Entity {name: සාමාන්‍ය කොටස් හිමියන්}),[:අයිතිවාසිකම],(:Entity {name: ඡන්ද අයිතිය සහ ලාභාංශ ලැබීමේ අයිතිය})
(:Entity {name: කැමති කොටස් හිමියන්}),[:අයිතිවාසිකම],(:Entity {name: ලාභාංශ සහ ප්‍රාග්ධන ආපසු ගෙවීමේදී ප්‍රමුඛතාවය})
(:Entity {name: කැමති කොටස් හිමියන්}),[:සීමාව],(:Entity {name: සාමාන්‍යයෙන් ඡන්ද අයිතිය නොමැත})
(:Entity {name: කොටස් නිකුත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: අධ්‍යක්ෂක මණ්ඩලයේ අනුමැතිය})
(:Entity {name: කොටස් නිකුත් කිරීම}),[:ක්‍රියාවලිය],(:Entity {name: කොටස් පිරිනැමීමේ ලිපියක් නිකුත් කිරීම})
(:Entity {name: කොටස් නිකුත් කිරීම}),[:අවසානය],(:Entity {name: කොටස් ප්‍රමාණපත්‍ර නිකුත් කිරීම})
(:Entity {name: කොටස් මාරු කිරීම}),[:අවශ්‍යතාව],(:Entity {name: නියමිත ආකෘතියේ මාරු කිරීමේ ලියවිල්ලක් සම්පූර්ණ කිරීම})
(:Entity {name: කොටස් මාරු කිරීම}),[:අවශ්‍යතාව],(:Entity {name: මුද්දර ගාස්තු ගෙවීම})
(:Entity {name: අධ්‍යක්ෂක මණ්ඩලය}),[:වගකීම],(:Entity {name: අභ්‍යන්තර පාලන පද්ධතිය පිහිටුවීම සහ නඩත්තු කිරීම})
(:Entity {name: අධ්‍යක්ෂක මණ්ඩලය}),[:හැකියාව],(:Entity {name: කොටස් මාරු කිරීම ප්‍රතික්ෂේප කළ හැකිය})
(:Entity {name: අධ්‍යක්ෂක මණ්ඩලය}),[:යුතුකම],(:Entity {name: මෙම මූලධර්ම අනුගමනය කිරීම සහතික කළ යුතුයි})
(:Entity {name: අධ්‍යක්ෂක මණ්ඩලය}),[:රැස්වීම්_සංඛ්‍යාතය],(:Entity {name: වසරකට අවම වශයෙන් සෑම කාර්තුවකටම එක් වරක්})
(:Entity {name: පුද්ගලික සමාගම්}),[:සීමාව],(:Entity {name: කොටස් මාරු කිරීම සීමා කළ හැකිය})
(:Entity {name: පොදු සමාගම්}),[:නිදහස],(:Entity {name: කොටස් නිදහසේ මාරු කළ හැකිය})
(:Entity {name: කොටස් බලපත්‍රය නැති වීම}),[:ක්‍රියාමාර්ගය],(:Entity {name: සමාගමට ලිඛිත දැනුම්දීමක් කළ යුතුය})
(:Entity {name: කොටස් ප්‍රාග්ධනය වැඩි කිරීම}),[:අවශ්‍යතාව],(:Entity {name: සාමාන්‍ය යෝජනාවක් මගින් අනුමත කළ යුතුයි})
(:Entity {name: පවතින කොටස් හිමියන්}),[:අයිතිවාසිකම],(:Entity {name: ප්‍රථම පිරිනැමීමේ අයිතිය තිබිය හැකිය})
(:Entity {name: කොටස් ප්‍රාග්ධනය අඩු කිරීම}),[:කොන්දේසිය],(:Entity {name: අතිරික්ත ප්‍රාග්ධනය තිබේ නම් හෝ අලාභ මකා දැමීමට අවශ්‍ය නම්})
(:Entity {name: කොටස් ප්‍රාග්ධනය අඩු කිරීම}),[:අවශ්‍යතාව],(:Entity {name: විශේෂ යෝජනාවක් සහ උසාවියේ අනුමැතිය})
(:Entity {name: බැඳුම්කරයක්}),[:අර්ථ_දැක්වීම],(:Entity {name: සමාගමක් විසින් නිකුත් කරන ලද ණය ලිපියක්})
(:Entity {name: බැඳුම්කර හිමියන්}),[:තත්ත්වය],(:Entity {name: සමාගමේ ණයහිමියන්})
(:Entity {name: බැඳුම්කර හිමියන්}),[:ලැබීම],(:Entity {name: නියමිත පොලී අනුපාතයකට අනුව පොලී})
(:Entity {name: බැඳුම්කර නිකුත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: අධ්‍යක්ෂක මණ්ඩලයේ අනුමැතිය})
(:Entity {name: බැඳුම්කර නිකුත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: බැඳුම්කර භාරකරුවෙකු පත් කිරීම})
(:Entity {name: බැඳුම්කර නිකුත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත දැනුම්දීම})
(:Entity {name: බැඳුම්කර භාරකරු}),[:කාර්යභාරය],(:Entity {name: බැඳුම්කර හිමියන්ගේ අවශ්‍යතා ආරක්ෂා කිරීම})
(:Entity {name: බැඳුම්කර භාරකරු}),[:කාර්යභාරය],(:Entity {name: සමාගම විසින් බැඳුම්කර නියමයන් සහ කොන්දේසි පිළිපදින බව සහතික කිරීම})
(:Entity {name: බැඳුම්කර භාරකරු}),[:හැකියාව],(:Entity {name: බැඳුම්කර හිමියන් වෙනුවෙන් නීතිමය ක්‍රියාමාර්ග ගත හැකිය})
(:Entity {name: බැඳුම්කර මත ආරක්ෂාව}),[:ක්‍රමය],(:Entity {name: සමාගමේ දේපළ හෝ වත්කම් උකස් කිරීම})
(:Entity {name: බැඳුම්කර මත ආරක්ෂාව}),[:අවශ්‍යතාව],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත ලියාපදිංචි කළ යුතුය})
(:Entity {name: බැඳුම්කර මත ආරක්ෂාව}),[:අවශ්‍යතාව],(:Entity {name: බැඳුම්කර භාරකාර ගිවිසුමේ සඳහන් කළ යුතුයි})
(:Entity {name: පරිවර්තනය කළ හැකි බැඳුම්කර}),[:ප්‍රතිලාභය],(:Entity {name: සමාගමේ අනාගත වර්ධනයෙන් ප්‍රතිලාභ ලැබීමේ අවස්ථාව})
(:Entity {name: පරිවර්තනය කළ හැකි බැඳුම්කර}),[:අර්ථ_දැක්වීම],(:Entity {name: නියමිත කොන්දේසි යටතේ සමාගමේ කොටස් බවට පරිවර්තනය කළ හැකි බැඳුම්කර})
(:Entity {name: කොටස් මිලදී ගැනීමේ සැලැස්ම}),[:අවශ්‍යතාව],(:Entity {name: සමාගම් පනතේ නියම කර ඇති කොන්දේසි යටතේ සිදු කළ යුතුය})
(:Entity {name: කොටස් මිලදී ගැනීමේ සැලැස්ම}),[:අර්ථ_දැක්වීම],(:Entity {name: සමාගම විසින් තමාගේම කොටස් මිලදී ගැනීමට පිහිටුවන සැලැස්මක්})
(:Entity {name: කොටස් විකල්ප}),[:අර්ථ_දැක්වීම],(:Entity {name: නියමිත මිලකට සහ නියමිත කාල සීමාවක් තුළ සමාගමේ කොටස් මිලදී ගැනීමේ අයිතිය})
(:Entity {name: කොටස් විකල්ප}),[:ලබා_දීම],(:Entity {name: කර්මචාරීන්ට හෝ අධ්‍යක්ෂකවරුන්ට දිරිගැන්වීමක් ලෙස})
(:Entity {name: ප්‍රාග්ධන භාරය}),[:ලියාපදිංචි_කිරීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත})
(:Entity {name: ප්‍රාග්ධන භාරය}),[:ලියාපදිංචි_කිරීම],(:Entity {name: නිර්මාණය කළ දින සිට දින 21ක් ඇතුළත})
(:Entity {name: ලියාපදිංචි නොකිරීම}),[:ප්‍රතිඵලය],(:Entity {name: අපරාධයක් වේ})
(:Entity {name: ප්‍රාග්ධන භාර වර්ග}),[:ඇතුළත්_වීම],(:Entity {name: ඉඩම් හෝ ගොඩනැඟිලි මත උකස්})
(:Entity {name: ප්‍රාග්ධන භාර වර්ග}),[:ඇතුළත්_වීම],(:Entity {name: යන්ත්‍රෝපකරණ හෝ වෙළඳ භාණ්ඩ මත ප්‍රාග්ධන භාරය})
(:Entity {name: ප්‍රාග්ධන භාර වර්ග}),[:ඇතුළත්_වීම],(:Entity {name: බැඳුම්කර හෝ අනෙකුත් සුරැකුම්පත් මත ප්‍රාග්ධන භාරය})
(:Entity {name: ප්‍රාග්ධන භාරය ලියාපදිංචි කිරීම}),[:ඉදිරිපත්_කිරීම],(:Entity {name: නියමිත ආකෘතියේ අයදුම්පතක්})
(:Entity {name: ප්‍රාග්ධන භාරය ලියාපදිංචි කිරීම}),[:ඉදිරිපත්_කිරීම],(:Entity {name: ප්‍රාග්ධන භාර ලියවිල්ලේ සහතික කළ පිටපතක්})
(:Entity {name: ප්‍රාග්ධන භාරය ලියාපදිංචි කිරීම}),[:ඉදිරිපත්_කිරීම],(:Entity {name: ප්‍රාග්ධන භාරයට අදාළ වත්කම් විස්තරය})
(:Entity {name: ප්‍රාග්ධන භාරය නිකුත් කිරීම}),[:දැනුම්_දීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත})
(:Entity {name: රජිස්ට්‍රාර්}),[:සටහන්_කිරීම],(:Entity {name: ප්‍රාග්ධන භාර ලේඛනයේ නිකුත් කිරීමේ සටහනක්})
(:Entity {name: ප්‍රාග්ධන භාර ලේඛනය}),[:හැකියාව],(:Entity {name: මහජනතාවට ගාස්තුවක් ගෙවා})
(:Entity {name: ප්‍රාග්ධන භාර ලේඛනය}),[:ලබා_දීම],(:Entity {name: සමාගමේ වත්කම් මත ඇති බර පිළිබඳ})
(:Entity {name: පුද්ගලික සමාගම}),[:අධ්‍යක්ෂක_අවම_සංඛ්‍යාව],(:Entity {name: අධ්‍යක්ෂකවරුන් දෙදෙනෙක්})
(:Entity {name: පුද්ගලික සමාගම}),[:ගණපූරණය],(:Entity {name: සාමාජිකයන් දෙදෙනෙක්})
(:Entity {name: පොදු සමාගම}),[:අධ්‍යක්ෂක_අවම_සංඛ්‍යාව],(:Entity {name: අධ්‍යක්ෂකවරුන් තිදෙනෙක්})
(:Entity {name: පොදු සමාගම}),[:ගණපූරණය],(:Entity {name: සාමාජිකයන් තිදෙනෙක්})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:වගකීම],(:Entity {name: සමාගමේ කටයුතු කළමනාකරණය කිරීම})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:වගකීම],(:Entity {name: ප්‍රතිපත්ති තීරණ ගැනීම})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:වගකීම],(:Entity {name: මූල්‍ය ප්‍රකාශන අනුමත කිරීම})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:වගකීම],(:Entity {name: සමාගමේ අවශ්‍යතා වෙනුවෙන් විශ්වාසනීයව කටයුතු කිරීම})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:අවශ්‍යතාව],(:Entity {name: සමාගමේ සාමාජිකයෙකු වීම අනිවාර්ය නොවේ})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:යුතුකම],(:Entity {name: අවශ්‍යතා පිළිබඳ ප්‍රකාශය අධ්‍යක්ෂක මණ්ඩලයට ප්‍රකාශ කළ යුතුය})
(:Entity {name: අධ්‍යක්ෂකවරයකු}),[:සුදුසුකම],(:Entity {name: වයස අවුරුදු 18 සම්පූර්ණ කර තිබිය යුතුයි})
(:Entity {name: බංකොලොත් වූ පුද්ගලයෙකු}),[:සීමාව],(:Entity {name: අධ්‍යක්ෂකවරයකු විය නොහැක})
(:Entity {name: රැස්වීම් දෙකක් අතර කාලය}),[:සීමාව],(:Entity {name: මාස තුනක් ඉක්මවිය නොහැක})
(:Entity {name: අවශ්‍යතා ප්‍රකාශය}),[:සටහන්_කිරීම],(:Entity {name: අධ්‍යක්ෂක මණ්ඩල රැස්වීමේ වාර්තාවේ})
(:Entity {name: සමාගම් ලේකම්වරයා}),[:කාර්යභාරය],(:Entity {name: සමාගමේ නීතිමය සහ ලේකම් කටයුතු කළමනාකරණය})
(:Entity {name: සමාගම් ලේකම්වරයා}),[:කාර්යභාරය],(:Entity {name: රැස්වීම් සංවිධානය කිරීම})
(:Entity {name: සමාගම් ලේකම්වරයා}),[:කාර්යභාරය],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත අවශ්‍ය ලේඛන ඉදිරිපත් කිරීම})
(:Entity {name: සමාගම් ලේකම්වරයකු}),[:සුදුසුකම],(:Entity {name: ශ්‍රී ලංකා සමාගම් ලේකම් ආයතනයේ සාමාජිකයෙකු වීම})
(:Entity {name: සමාගම් ලේකම්වරයකු}),[:සුදුසුකම],(:Entity {name: ශ්‍රී ලංකා ප්‍රතීපිත ගණකාධිකාරීවරුන්ගේ ආයතනයේ සාමාජිකයෙකු වීම})
(:Entity {name: සමාගම් ලේකම්වරයකු}),[:සුදුසුකම],(:Entity {name: නීතිඥයෙකු වීම})
(:Entity {name: ස්වාධීන අධ්‍යක්ෂකවරයෙකු}),[:ලක්ෂණය],(:Entity {name: සමාගම සමඟ කිසිදු ද්‍රව්‍යමය ව්‍යාපාරික සම්බන්ධතාවයක් නොමැති})
(:Entity {name: ස්වාධීන අධ්‍යක්ෂකවරයෙකු}),[:ලක්ෂණය],(:Entity {name: සමාගමේ කළමනාකරණයේ කොටසක් නොවේ})
(:Entity {name: ස්වාධීන අධ්‍යක්ෂකවරයෙකු}),[:භූමිකාව],(:Entity {name: සමාගම් පාලනයේ වැදගත් භූමිකාවක් ඉටු කරයි})
(:Entity {name: සම්බන්ධිත පාර්ශ්ව ගනුදෙනු}),[:අවශ්‍යතාව],(:Entity {name: විනිවිදභාවයෙන් සිදු කළ යුතුයි})
(:Entity {name: සම්බන්ධිත පාර්ශ්ව ගනුදෙනු}),[:අවශ්‍යතාව],(:Entity {name: සාමාජිකයන්ගේ අනුමැතිය අවශ්‍ය විය හැකිය})
(:Entity {name: සම්බන්ධිත පාර්ශ්ව ගනුදෙනු}),[:අර්ථ_දැක්වීම],(:Entity {name: සමාගම සහ එහි අධ්‍යක්ෂකවරුන් අතර සිදු කරන ගනුදෙනු})
(:Entity {name: අධ්‍යක්ෂකවරයකු ඉවත් කිරීම}),[:ක්‍රමය],(:Entity {name: සාමාන්‍ය යෝජනාවක් මගින් සාමාන්‍ය රැස්වීමේදී})
(:Entity {name: ඉවත් කිරීම}),[:දැනුම්_දීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්ට})
(:Entity {name: වාර්ෂික සාමාන්‍ය රැස්වීම}),[:පැවැත්විය_යුත්තේ],(:Entity {name: සෑම වසරකම})
(:Entity {name: වාර්ෂික සාමාන්‍ය රැස්වීම}),[:කටයුතු],(:Entity {name: මූල්‍ය ප්‍රකාශන සහ අධ්‍යක්ෂකවරුන්ගේ වාර්තාව සලකා බැලීම})
(:Entity {name: වාර්ෂික සාමාන්‍ය රැස්වීම}),[:කටයුතු],(:Entity {name: ලාභාංශ ප්‍රකාශ කිරීම})
(:Entity {name: වාර්ෂික සාමාන්‍ය රැස්වීම}),[:කටයුතු],(:Entity {name: විගණකවරුන් පත් කිරීම})
(:Entity {name: පළමු වාර්ෂික සාමාන්‍ය රැස්වීම}),[:කාලය],(:Entity {name: සංස්ථාපනය කළ දින සිට මාස 18ක් ඇතුළත})
(:Entity {name: ඉන් පසු වාර්ෂික සාමාන්‍ය රැස්වීම}),[:කාලය],(:Entity {name: සෑම වසරකම මාස 15ක් ඇතුළත})
(:Entity {name: ලාභාංශ ප්‍රකාශ කිරීම}),[:අවශ්‍යතාව],(:Entity {name: අධ්‍යක්ෂක මණ්ඩලයේ නිර්දේශයක් සහ සාමාජිකයන්ගේ අනුමැතිය})
(:Entity {name: විශේෂ සාමාන්‍ය රැස්වීම}),[:හැකියාව],(:Entity {name: අධ්‍යක්ෂක මණ්ඩලය විසින්})
(:Entity {name: විශේෂ සාමාන්‍ය රැස්වීම}),[:හැකියාව],(:Entity {name: සාමාජිකයන්ගේ ඉල්ලීමක් මත})
(:Entity {name: සාමාජිකයන්ගේ ඉල්ලීම}),[:අවශ්‍යතාව],(:Entity {name: සමස්ත ඡන්ද බලයෙන් අවම වශයෙන් 10%ක් නියෝජනය කරන සාමාජිකයන්})
(:Entity {name: සාමාන්‍ය රැස්වීම}),[:දැනුම්දීමේ_කාලය],(:Entity {name: අවම වශයෙන් දින 14ක්})
(:Entity {name: විශේෂ යෝජනාව}),[:දැනුම්දීමේ_කාලය],(:Entity {name: දින 21ක්})
(:Entity {name: විශේෂ යෝජනාව}),[:අවශ්‍ය_බහුතරය],(:Entity {name: අවම වශයෙන් 75% ඡන්ද බහුතරය})
(:Entity {name: අධ්‍යක්ෂක මණ්ඩල රැස්වීම}),[:දැනුම්දීමේ_කාලය],(:Entity {name: සාමාන්‍යයෙන් දින 7ක්})
(:Entity {name: රැස්වීම් ගණපූරණය}),[:අර්ථ_දැක්වීම],(:Entity {name: රැස්වීමක් නීතිමය වශයෙන් ක්‍රියාත්මක වීමට අවශ්‍ය අවම සාමාජික සංඛ්‍යාව})
(:Entity {name: ප්‍රොක්සි ඡන්දය}),[:අර්ථ_දැක්වීම],(:Entity {name: සාමාජිකයෙකු තමා වෙනුවට රැස්වීමට පැමිණ ඡන්දය ප්‍රකාශ කිරීමට වෙනත් පුද්ගලයෙකු පත් කිරීම})
(:Entity {name: ප්‍රොක්සි පත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: ලිඛිතව සිදු කළ යුතුයි})
(:Entity {name: ප්‍රොක්සි පත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: රැස්වීමට පෙර සමාගමට ඉදිරිපත් කළ යුතුය})
(:Entity {name: සාමාන්‍ය යෝජනාව}),[:හැකියාව],(:Entity {name: සරල බහුතරයකින්})
(:Entity {name: විශේෂ යෝජනා}),[:භාවිතය],"(:Entity {name: ආණ්ඩුක්‍රම ව්‍යවස්ථා සංශෝධන, සමාගම් නාමය වෙනස් කිරීම සහ සමාගම විසුරුවා හැරීම})"
(:Entity {name: රැස්වීම් වාර්තා}),[:හැකියාව],(:Entity {name: සාමාජිකයන්ට})
(:Entity {name: රැස්වීම් වාර්තා}),[:ඉදිරිපත්_කිරීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල්ගේ ඉල්ලීමක් මත})
(:Entity {name: රැස්වීම් වාර්තා}),[:තබා_ගැනීම],(:Entity {name: සමාගමේ ලියාපදිංචි කාර්යාලයේ})
(:Entity {name: ලිඛිත යෝජනාව}),[:බලය],(:Entity {name: රැස්වීම් යෝජනාවක් මෙන් සමාන බලය ඇත})
(:Entity {name: ලිඛිත යෝජනාව}),[:අර්ථ_දැක්වීම],(:Entity {name: රැස්වීමක් නොපවත්වා සියලු සුදුසුකම් ලත් අධ්‍යක්ෂකවරුන් විසින් ලිඛිතව අත්සන් කරන ලද යෝජනාව})
(:Entity {name: ඉලෙක්ට්‍රොනික රැස්වීම්}),[:හැකියාව],(:Entity {name: ආණ්ඩුක්‍රම ව්‍යවස්ථාවේ අවසර තිබේ නම්})
(:Entity {name: ඉලෙක්ට්‍රොනික රැස්වීම්}),[:ක්‍රමය],(:Entity {name: වීඩියෝ සම්මන්ත්‍රණ හෝ අනෙකුත් ඉලෙක්ට්‍රොනික මාධ්‍ය භාවිතයෙන්})
(:Entity {name: ඉලෙක්ට්‍රොනික රැස්වීම්}),[:අවශ්‍යතාව],(:Entity {name: සියලු සහභාගිවන්නන්ට එකිනෙකා සමඟ සන්නිවේදනය කළ හැකි බව සහතික කළ යුතුය})
(:Entity {name: ගිණුම් පොත්}),[:ඇතුළත්_වීම],(:Entity {name: සමාගමේ සියලු ලැබීම් සහ වියදම්})
(:Entity {name: ගිණුම් පොත්}),[:ඇතුළත්_වීම],(:Entity {name: වත්කම් සහ බැරකම්})
